MEASURE,Measure,INDEX,Index type,SECTOR,Sector,INDUSTRY,Industry,REGION,Region,TSEST,Adjustment type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2015-Q1,Mar-15,120.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2015-Q2,Jun-15,121.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2015-Q3,Sep-15,122.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2015-Q4,Dec-15,122.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2016-Q1,Mar-16,123.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2016-Q2,Jun-16,123.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2016-Q3,Sep-16,124.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2016-Q4,Dec-16,124.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2017-Q1,Mar-17,125.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2017-Q2,Jun-17,126,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2017-Q3,Sep-17,126.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2017-Q4,Dec-17,127.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2018-Q1,Mar-18,128.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2018-Q2,Jun-18,128.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2018-Q3,Sep-18,129.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2018-Q4,Dec-18,130.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2019-Q1,Mar-19,131.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2009-Q1,Mar-09,100.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2009-Q2,Jun-09,101.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2009-Q3,Sep-09,102,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2009-Q4,Dec-09,102.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2010-Q1,Mar-10,103.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2010-Q2,Jun-10,103.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2010-Q3,Sep-10,105.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2010-Q4,Dec-10,106.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2011-Q1,Mar-11,107.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2011-Q2,Jun-11,107.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2011-Q3,Sep-11,109.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2011-Q4,Dec-11,110.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2012-Q1,Mar-12,111.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2012-Q2,Jun-12,112.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2012-Q3,Sep-12,113.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2012-Q4,Dec-12,114.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2013-Q1,Mar-13,114.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2013-Q2,Jun-13,115.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2013-Q3,Sep-13,116.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2013-Q4,Dec-13,117,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2014-Q1,Mar-14,117.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2014-Q2,Jun-14,118.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2014-Q3,Sep-14,119.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2014-Q4,Dec-14,120,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2015-Q1,Mar-15,120.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2015-Q2,Jun-15,120.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2015-Q3,Sep-15,121.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2015-Q4,Dec-15,122.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2016-Q1,Mar-16,122.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2016-Q2,Jun-16,122.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2016-Q3,Sep-16,123.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2016-Q4,Dec-16,124.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2017-Q1,Mar-17,124.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2017-Q2,Jun-17,125.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2017-Q3,Sep-17,126.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2017-Q4,Dec-17,126.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2018-Q1,Mar-18,127.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2018-Q2,Jun-18,127.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2018-Q3,Sep-18,129.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2018-Q4,Dec-18,129.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,3,Queensland,10,Original,Q,Quarterly,2019-Q1,Mar-19,130.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2009-Q1,Mar-09,100.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2009-Q2,Jun-09,100.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2009-Q3,Sep-09,101.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2009-Q4,Dec-09,102.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2010-Q1,Mar-10,103,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2010-Q2,Jun-10,103.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2010-Q3,Sep-10,105.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2010-Q4,Dec-10,106,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2011-Q1,Mar-11,106.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2011-Q2,Jun-11,107.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2011-Q3,Sep-11,108.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2011-Q4,Dec-11,109.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2012-Q1,Mar-12,110.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2012-Q2,Jun-12,110.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2012-Q3,Sep-12,112.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2012-Q4,Dec-12,113.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2013-Q1,Mar-13,114,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2013-Q2,Jun-13,114.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2013-Q3,Sep-13,116.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2013-Q4,Dec-13,117.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2014-Q1,Mar-14,117.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2014-Q2,Jun-14,118.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2014-Q3,Sep-14,119.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2014-Q4,Dec-14,120.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2015-Q1,Mar-15,120.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2015-Q2,Jun-15,121,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2015-Q3,Sep-15,122.4,,
