MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,92.7,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,93.7,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,94.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,94.6,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,95.3,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.2,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,96.5,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,100,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,100,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,99.9,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,100.2,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,101.7,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,102.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,102.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,102.3,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,103.7,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,104.4,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,105.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,105.5,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,105.9,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,106.2,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,106.3,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,106.8,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,107.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,107.3,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,107,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,107.5,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,108.4,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,108.7,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,109.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,109.2,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,110.4,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,111.2,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,111.6,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,112.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,112.4,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,113,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,113.1,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,92.5,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,93.3,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,94,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,94.5,,
